subject,post,latitude,longitude
Infrastructure Work,The annual street fair at Main is this Saturday. Great food and local crafts!,33.804192,-84.392424
Public Transport Notice,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.845328,-84.462219
Community Meeting,The annual street fair at River is this Saturday. Great food and local crafts!,33.675774,-84.500398
Local Event,"Avoid Elm during rush hour, construction is causing major delays.",33.656346,-84.435807
Street Fair,Don't miss the Peachtree happening this weekend at North. Always a good time!,33.651145,-84.366445
Local Event,Don't miss the Broadway happening this weekend at Maple. Always a good time!,33.873364,-84.515489
Local Event,Community meeting at Peachtree this Thursday to discuss the new Elm development.,33.81363,-84.404976
Park Renovation,Community meeting at River this Thursday to discuss the new Elm development.,33.804787,-84.430384
Community Meeting,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.654864,-84.303802
Infrastructure Work,Heard about a new Maple opening on Main. Definitely worth checking out!,33.699802,-84.440882
Community Meeting,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.701305,-84.477994
New Restaurant Opening,Heard about a new Elm opening on Elm. Definitely worth checking out!,33.872881,-84.358185
New Restaurant Opening,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.835633,-84.354348
Traffic Update,Public transport update: Highland line will have altered schedules this week.,33.782402,-84.507328
Street Fair,Community meeting at Maple this Thursday to discuss the new Peachtree development.,33.847558,-84.330787
Street Fair,"Heads up, River is undergoing some major infrastructure work for the next month.",33.672976,-84.45392
Pothole Alert,Don't miss the 5th happening this weekend at Peachtree. Always a good time!,33.751841,-84.318704
Infrastructure Work,Don't miss the Broadway happening this weekend at Main. Always a good time!,33.716596,-84.301561
Pothole Alert,Community meeting at Elm this Thursday to discuss the new 5th development.,33.759434,-84.447719
Park Renovation,Don't miss the River happening this weekend at Maple. Always a good time!,33.880823,-84.366181
Public Transport Notice,Public transport update: Peachtree line will have altered schedules this week.,33.677565,-84.412755
Community Meeting,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.858471,-84.322974
New Restaurant Opening,"Heads up, Maple is undergoing some major infrastructure work for the next month.",33.841566,-84.451213
New Restaurant Opening,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.800321,-84.447614
Pothole Alert,Excited about the new renovations at Broadway. It's going to be great for the community!,33.694504,-84.457731
Community Meeting,Watch out for a giant pothole on Broadway Street. Be careful driving!,33.785669,-84.456855
Pothole Alert,"Avoid 5th during rush hour, construction is causing major delays.",33.842796,-84.522422
Traffic Update,Watch out for a giant pothole on 5th Street. Be careful driving!,33.739518,-84.500699
Public Transport Notice,Heard about a new 5th opening on Highland. Definitely worth checking out!,33.727097,-84.352519
New Restaurant Opening,Public transport update: River line will have altered schedules this week.,33.781123,-84.547618
Local Event,"Avoid Main during rush hour, construction is causing major delays.",33.844318,-84.538207
Traffic Update,Excited about the new renovations at Maple. It's going to be great for the community!,33.76279,-84.387162
New Restaurant Opening,Community meeting at Maple this Thursday to discuss the new Maple development.,33.797246,-84.43445
Local Event,Community meeting at River this Thursday to discuss the new Maple development.,33.797678,-84.530957
Park Renovation,Public transport update: Highland line will have altered schedules this week.,33.702729,-84.54716
Infrastructure Work,Public transport update: River line will have altered schedules this week.,33.683706,-84.491566
Local Event,Watch out for a giant pothole on Elm Street. Be careful driving!,33.781256,-84.422829
Public Transport Notice,Excited about the new renovations at Broadway. It's going to be great for the community!,33.819931,-84.324454
Traffic Update,Heard about a new Elm opening on Peachtree. Definitely worth checking out!,33.683631,-84.333191
Community Meeting,"Heads up, River is undergoing some major infrastructure work for the next month.",33.802766,-84.474405
New Restaurant Opening,Community meeting at Highland this Thursday to discuss the new River development.,33.817,-84.524151
New Restaurant Opening,Don't miss the Broadway happening this weekend at Main. Always a good time!,33.775339,-84.445188
Park Renovation,Watch out for a giant pothole on 5th Street. Be careful driving!,33.865781,-84.531671
Public Transport Notice,Public transport update: Maple line will have altered schedules this week.,33.703982,-84.549709
Pothole Alert,Community meeting at Elm this Thursday to discuss the new Maple development.,33.761885,-84.396893
Local Event,Community meeting at North this Thursday to discuss the new Broadway development.,33.787031,-84.33715
Traffic Update,Heard about a new Highland opening on Main. Definitely worth checking out!,33.675996,-84.431294
Local Event,Don't miss the Peachtree happening this weekend at River. Always a good time!,33.801592,-84.382036
New Restaurant Opening,Community meeting at Main this Thursday to discuss the new North development.,33.793346,-84.46043
Community Meeting,"Avoid Broadway during rush hour, construction is causing major delays.",33.83232,-84.33252
New Restaurant Opening,Heard about a new Highland opening on Highland. Definitely worth checking out!,33.853377,-84.410994
Infrastructure Work,"Avoid Main during rush hour, construction is causing major delays.",33.778166,-84.356025
Local Event,Watch out for a giant pothole on Main Street. Be careful driving!,33.676779,-84.420665
Local Event,Public transport update: 5th line will have altered schedules this week.,33.849651,-84.338103
Local Event,Excited about the new renovations at Maple. It's going to be great for the community!,33.662066,-84.447453
New Restaurant Opening,Public transport update: River line will have altered schedules this week.,33.662692,-84.343321
Public Transport Notice,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.79047,-84.345417
Street Fair,Heard about a new Elm opening on Broadway. Definitely worth checking out!,33.774532,-84.52397
Pothole Alert,Public transport update: Broadway line will have altered schedules this week.,33.691179,-84.419448
Park Renovation,Heard about a new 5th opening on Highland. Definitely worth checking out!,33.701001,-84.409426
Park Renovation,Public transport update: Maple line will have altered schedules this week.,33.824308,-84.304912
Traffic Update,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.745915,-84.455038
Local Event,Don't miss the North happening this weekend at North. Always a good time!,33.722379,-84.546094
Community Meeting,Community meeting at Highland this Thursday to discuss the new 5th development.,33.791498,-84.478215
Street Fair,Community meeting at Peachtree this Thursday to discuss the new Maple development.,33.806854,-84.3892
New Restaurant Opening,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.851141,-84.366788
Community Meeting,Watch out for a giant pothole on 5th Street. Be careful driving!,33.788059,-84.381024
Public Transport Notice,"Avoid North during rush hour, construction is causing major delays.",33.764161,-84.376287
Park Renovation,Heard about a new Broadway opening on Peachtree. Definitely worth checking out!,33.700565,-84.493697
Street Fair,"Avoid Broadway during rush hour, construction is causing major delays.",33.679133,-84.44636
Pothole Alert,Watch out for a giant pothole on Highland Street. Be careful driving!,33.773618,-84.537904
Public Transport Notice,Community meeting at Broadway this Thursday to discuss the new Maple development.,33.756807,-84.498452
Traffic Update,Community meeting at 5th this Thursday to discuss the new Peachtree development.,33.665485,-84.391473
Public Transport Notice,"Heads up, River is undergoing some major infrastructure work for the next month.",33.878554,-84.322124
Traffic Update,"Heads up, North is undergoing some major infrastructure work for the next month.",33.87528,-84.315442
Pothole Alert,"Heads up, North is undergoing some major infrastructure work for the next month.",33.870178,-84.346026
Traffic Update,Watch out for a giant pothole on North Street. Be careful driving!,33.721552,-84.393691
Park Renovation,Heard about a new Main opening on Main. Definitely worth checking out!,33.776852,-84.34227
Park Renovation,Don't miss the North happening this weekend at Highland. Always a good time!,33.668826,-84.29797
Local Event,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.705045,-84.404547
Pothole Alert,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.736451,-84.539026
Infrastructure Work,Heard about a new Peachtree opening on Main. Definitely worth checking out!,33.841398,-84.324485
Street Fair,Excited about the new renovations at 5th. It's going to be great for the community!,33.772813,-84.513027
Traffic Update,Public transport update: Broadway line will have altered schedules this week.,33.665095,-84.498323
Infrastructure Work,"Avoid Broadway during rush hour, construction is causing major delays.",33.6974,-84.32377
Pothole Alert,Public transport update: 5th line will have altered schedules this week.,33.654991,-84.431145
Public Transport Notice,Heard about a new Peachtree opening on North. Definitely worth checking out!,33.828703,-84.444441
Public Transport Notice,"Avoid Main during rush hour, construction is causing major delays.",33.766311,-84.425689
Pothole Alert,Public transport update: Highland line will have altered schedules this week.,33.658838,-84.352344
Local Event,Don't miss the Broadway happening this weekend at Peachtree. Always a good time!,33.815201,-84.450817
Park Renovation,Public transport update: Main line will have altered schedules this week.,33.728658,-84.392391
Pothole Alert,Don't miss the 5th happening this weekend at Highland. Always a good time!,33.748869,-84.438233
Community Meeting,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.652295,-84.412265
Community Meeting,"Avoid Broadway during rush hour, construction is causing major delays.",33.823498,-84.424605
Public Transport Notice,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.76407,-84.513083
New Restaurant Opening,"Heads up, Main is undergoing some major infrastructure work for the next month.",33.680736,-84.378495
Pothole Alert,Public transport update: 5th line will have altered schedules this week.,33.663133,-84.390296
Infrastructure Work,Don't miss the 5th happening this weekend at Broadway. Always a good time!,33.656448,-84.316873
Traffic Update,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.712387,-84.49666
New Restaurant Opening,Community meeting at 5th this Thursday to discuss the new River development.,33.726843,-84.313349
Infrastructure Work,Don't miss the North happening this weekend at River. Always a good time!,33.873614,-84.294576
Community Meeting,Community meeting at River this Thursday to discuss the new Main development.,33.842136,-84.316124
Community Meeting,Public transport update: Maple line will have altered schedules this week.,33.650056,-84.400974
New Restaurant Opening,Excited about the new renovations at Broadway. It's going to be great for the community!,33.668766,-84.459924
Traffic Update,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.688843,-84.366706
Pothole Alert,Watch out for a giant pothole on Main Street. Be careful driving!,33.873979,-84.427965
Street Fair,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.654153,-84.335392
Pothole Alert,Heard about a new Elm opening on Highland. Definitely worth checking out!,33.843765,-84.372594
Traffic Update,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.881256,-84.469108
Park Renovation,Heard about a new Elm opening on Peachtree. Definitely worth checking out!,33.712589,-84.296191
Community Meeting,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.797416,-84.337412
Park Renovation,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.818327,-84.373623
Street Fair,Public transport update: Maple line will have altered schedules this week.,33.878759,-84.504316
Pothole Alert,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.792446,-84.396471
New Restaurant Opening,Heard about a new Elm opening on Broadway. Definitely worth checking out!,33.653779,-84.307216
Pothole Alert,Heard about a new 5th opening on Peachtree. Definitely worth checking out!,33.873616,-84.482065
Local Event,"Avoid 5th during rush hour, construction is causing major delays.",33.782056,-84.471681
Infrastructure Work,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.712272,-84.353848
New Restaurant Opening,Heard about a new North opening on Maple. Definitely worth checking out!,33.877732,-84.294515
Infrastructure Work,Community meeting at River this Thursday to discuss the new 5th development.,33.652258,-84.331715
New Restaurant Opening,Public transport update: River line will have altered schedules this week.,33.761606,-84.477488
Street Fair,Community meeting at 5th this Thursday to discuss the new Highland development.,33.786876,-84.460791
Local Event,Don't miss the Broadway happening this weekend at Peachtree. Always a good time!,33.758764,-84.355951
Traffic Update,"Avoid Highland during rush hour, construction is causing major delays.",33.858146,-84.416906
Infrastructure Work,Don't miss the North happening this weekend at Peachtree. Always a good time!,33.848801,-84.454559
Infrastructure Work,Don't miss the Highland happening this weekend at Elm. Always a good time!,33.679108,-84.365523
Street Fair,Public transport update: Main line will have altered schedules this week.,33.824614,-84.361166
Pothole Alert,Watch out for a giant pothole on Elm Street. Be careful driving!,33.81351,-84.514888
Public Transport Notice,"Avoid Elm during rush hour, construction is causing major delays.",33.837245,-84.370435
Traffic Update,Heard about a new 5th opening on Peachtree. Definitely worth checking out!,33.705818,-84.473324
Traffic Update,Excited about the new renovations at 5th. It's going to be great for the community!,33.829781,-84.295566
Community Meeting,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.878737,-84.536353
New Restaurant Opening,Don't miss the 5th happening this weekend at Highland. Always a good time!,33.841429,-84.361741
New Restaurant Opening,Public transport update: Peachtree line will have altered schedules this week.,33.849676,-84.409135
Street Fair,Public transport update: Peachtree line will have altered schedules this week.,33.8195,-84.526996
Street Fair,Excited about the new renovations at Maple. It's going to be great for the community!,33.705618,-84.339196
Local Event,Public transport update: Main line will have altered schedules this week.,33.67326,-84.49841
Infrastructure Work,Heard about a new Peachtree opening on Maple. Definitely worth checking out!,33.716532,-84.338287
Community Meeting,"Avoid Broadway during rush hour, construction is causing major delays.",33.784804,-84.425819
Park Renovation,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.761209,-84.444332
Community Meeting,Heard about a new Peachtree opening on Broadway. Definitely worth checking out!,33.681731,-84.510323
Street Fair,Watch out for a giant pothole on North Street. Be careful driving!,33.837611,-84.301492
New Restaurant Opening,Heard about a new Peachtree opening on North. Definitely worth checking out!,33.732937,-84.536352
Pothole Alert,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.70248,-84.461218
Street Fair,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.668488,-84.498611
Public Transport Notice,Don't miss the 5th happening this weekend at North. Always a good time!,33.668813,-84.461342
Traffic Update,Don't miss the Broadway happening this weekend at Maple. Always a good time!,33.87508,-84.478713
Public Transport Notice,Don't miss the River happening this weekend at River. Always a good time!,33.705079,-84.501739
Local Event,Heard about a new North opening on Highland. Definitely worth checking out!,33.695671,-84.349148
Park Renovation,Excited about the new renovations at Maple. It's going to be great for the community!,33.673678,-84.431146
New Restaurant Opening,The annual street fair at Highland is this Saturday. Great food and local crafts!,33.866444,-84.430027
Community Meeting,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.679582,-84.512985
Pothole Alert,Watch out for a giant pothole on Maple Street. Be careful driving!,33.732426,-84.295083
Pothole Alert,Heard about a new 5th opening on River. Definitely worth checking out!,33.70016,-84.474797
Community Meeting,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.774179,-84.466924
Pothole Alert,"Avoid 5th during rush hour, construction is causing major delays.",33.810831,-84.550685
Infrastructure Work,Community meeting at 5th this Thursday to discuss the new Maple development.,33.77879,-84.377504
Infrastructure Work,Community meeting at Highland this Thursday to discuss the new Elm development.,33.743945,-84.375902
Public Transport Notice,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.771695,-84.446437
Infrastructure Work,Heard about a new North opening on Main. Definitely worth checking out!,33.733433,-84.548362
New Restaurant Opening,Community meeting at Peachtree this Thursday to discuss the new 5th development.,33.83257,-84.356798
Public Transport Notice,"Avoid Maple during rush hour, construction is causing major delays.",33.869893,-84.322807
Street Fair,Community meeting at Broadway this Thursday to discuss the new 5th development.,33.652029,-84.296339
Pothole Alert,Don't miss the 5th happening this weekend at River. Always a good time!,33.865679,-84.355494
Community Meeting,"Avoid River during rush hour, construction is causing major delays.",33.810232,-84.320513
Infrastructure Work,Community meeting at Elm this Thursday to discuss the new Broadway development.,33.763356,-84.48494
Pothole Alert,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.826105,-84.388918
Street Fair,"Heads up, Main is undergoing some major infrastructure work for the next month.",33.834881,-84.31224
Park Renovation,Public transport update: Highland line will have altered schedules this week.,33.844872,-84.452586
Community Meeting,"Heads up, River is undergoing some major infrastructure work for the next month.",33.834521,-84.523028
Traffic Update,The annual street fair at River is this Saturday. Great food and local crafts!,33.818195,-84.421543
Community Meeting,Don't miss the River happening this weekend at Maple. Always a good time!,33.664313,-84.479821
Infrastructure Work,"Avoid Main during rush hour, construction is causing major delays.",33.831289,-84.308605
New Restaurant Opening,Heard about a new River opening on Main. Definitely worth checking out!,33.817258,-84.344348
Infrastructure Work,Excited about the new renovations at River. It's going to be great for the community!,33.692707,-84.389344
Infrastructure Work,Community meeting at Highland this Thursday to discuss the new River development.,33.86419,-84.4596
Public Transport Notice,Public transport update: Elm line will have altered schedules this week.,33.78376,-84.523656
Street Fair,"Avoid North during rush hour, construction is causing major delays.",33.803744,-84.434205
Public Transport Notice,Heard about a new Highland opening on North. Definitely worth checking out!,33.752036,-84.405216
New Restaurant Opening,"Avoid Peachtree during rush hour, construction is causing major delays.",33.790216,-84.43841
Infrastructure Work,Heard about a new Maple opening on Elm. Definitely worth checking out!,33.728402,-84.308057
Local Event,Watch out for a giant pothole on Elm Street. Be careful driving!,33.672269,-84.365514
Park Renovation,Heard about a new River opening on Elm. Definitely worth checking out!,33.650444,-84.448832
Pothole Alert,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.712269,-84.292043
Infrastructure Work,Community meeting at Peachtree this Thursday to discuss the new Maple development.,33.798254,-84.471689
Community Meeting,Don't miss the Maple happening this weekend at Highland. Always a good time!,33.678958,-84.474907
New Restaurant Opening,Public transport update: Peachtree line will have altered schedules this week.,33.822737,-84.307238
Infrastructure Work,Community meeting at Maple this Thursday to discuss the new Maple development.,33.845498,-84.440006
Traffic Update,Heard about a new River opening on Peachtree. Definitely worth checking out!,33.688077,-84.472538
Infrastructure Work,Don't miss the Broadway happening this weekend at North. Always a good time!,33.745319,-84.453895
New Restaurant Opening,Public transport update: Main line will have altered schedules this week.,33.652279,-84.342016
Local Event,Don't miss the Peachtree happening this weekend at River. Always a good time!,33.685016,-84.401558
Public Transport Notice,"Avoid Elm during rush hour, construction is causing major delays.",33.74716,-84.407599
Street Fair,Heard about a new North opening on 5th. Definitely worth checking out!,33.821069,-84.486906
Local Event,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.710833,-84.495513
Community Meeting,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.77031,-84.419925
Community Meeting,"Avoid Highland during rush hour, construction is causing major delays.",33.674905,-84.441151
Park Renovation,Public transport update: 5th line will have altered schedules this week.,33.794274,-84.2898
Public Transport Notice,Don't miss the Maple happening this weekend at Broadway. Always a good time!,33.78082,-84.452234
Traffic Update,"Avoid 5th during rush hour, construction is causing major delays.",33.882571,-84.346207
Traffic Update,Watch out for a giant pothole on Elm Street. Be careful driving!,33.797105,-84.365077
Pothole Alert,Don't miss the Peachtree happening this weekend at Maple. Always a good time!,33.766469,-84.455416
Street Fair,Community meeting at Elm this Thursday to discuss the new Highland development.,33.838392,-84.321238
Park Renovation,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.720723,-84.450412
New Restaurant Opening,Heard about a new Broadway opening on Highland. Definitely worth checking out!,33.797627,-84.29564
Local Event,Community meeting at North this Thursday to discuss the new Elm development.,33.682832,-84.471282
New Restaurant Opening,Public transport update: Highland line will have altered schedules this week.,33.738455,-84.391718
Community Meeting,Heard about a new Highland opening on Elm. Definitely worth checking out!,33.854114,-84.326864
Community Meeting,Public transport update: Elm line will have altered schedules this week.,33.660791,-84.508776
Park Renovation,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.726497,-84.504678
Infrastructure Work,Heard about a new Broadway opening on Main. Definitely worth checking out!,33.814256,-84.528678
Street Fair,"Avoid Elm during rush hour, construction is causing major delays.",33.728443,-84.476301
Community Meeting,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.726847,-84.434843
Infrastructure Work,Watch out for a giant pothole on North Street. Be careful driving!,33.856784,-84.42393
Pothole Alert,Excited about the new renovations at Main. It's going to be great for the community!,33.668162,-84.441504
Pothole Alert,Community meeting at Highland this Thursday to discuss the new Elm development.,33.744066,-84.451776
Local Event,Watch out for a giant pothole on Main Street. Be careful driving!,33.857751,-84.499748
Traffic Update,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.786967,-84.296958
Infrastructure Work,Don't miss the North happening this weekend at North. Always a good time!,33.745065,-84.494283
Park Renovation,Heard about a new Elm opening on North. Definitely worth checking out!,33.855817,-84.420194
New Restaurant Opening,"Heads up, River is undergoing some major infrastructure work for the next month.",33.650252,-84.391132
Public Transport Notice,Public transport update: Main line will have altered schedules this week.,33.688405,-84.53812
Public Transport Notice,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.69408,-84.435518
Park Renovation,Community meeting at North this Thursday to discuss the new River development.,33.86744,-84.340552
Infrastructure Work,Excited about the new renovations at Highland. It's going to be great for the community!,33.73002,-84.519355
Traffic Update,Watch out for a giant pothole on Broadway Street. Be careful driving!,33.662518,-84.396323
Community Meeting,Watch out for a giant pothole on Maple Street. Be careful driving!,33.876336,-84.336669
Public Transport Notice,Community meeting at 5th this Thursday to discuss the new 5th development.,33.805342,-84.352514
Local Event,"Avoid 5th during rush hour, construction is causing major delays.",33.731791,-84.543717
Park Renovation,Watch out for a giant pothole on Maple Street. Be careful driving!,33.659317,-84.334405
Community Meeting,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.740622,-84.431919
Traffic Update,Heard about a new North opening on 5th. Definitely worth checking out!,33.710866,-84.405474
Traffic Update,Excited about the new renovations at Maple. It's going to be great for the community!,33.871153,-84.397688
New Restaurant Opening,Public transport update: Highland line will have altered schedules this week.,33.653784,-84.35161
Street Fair,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.775656,-84.298314
Community Meeting,The annual street fair at Highland is this Saturday. Great food and local crafts!,33.804243,-84.360838
Community Meeting,Watch out for a giant pothole on Elm Street. Be careful driving!,33.839235,-84.50726
Street Fair,Public transport update: North line will have altered schedules this week.,33.783135,-84.357476
New Restaurant Opening,Community meeting at 5th this Thursday to discuss the new Highland development.,33.8564,-84.536119
Street Fair,"Heads up, North is undergoing some major infrastructure work for the next month.",33.754474,-84.381517
Street Fair,Watch out for a giant pothole on Highland Street. Be careful driving!,33.808717,-84.516358
New Restaurant Opening,"Avoid River during rush hour, construction is causing major delays.",33.716535,-84.381423
Pothole Alert,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.852034,-84.291922
Infrastructure Work,Public transport update: Broadway line will have altered schedules this week.,33.683966,-84.452294
New Restaurant Opening,Public transport update: Peachtree line will have altered schedules this week.,33.819967,-84.504259
Park Renovation,Community meeting at 5th this Thursday to discuss the new Main development.,33.732636,-84.364917
Local Event,Heard about a new River opening on Broadway. Definitely worth checking out!,33.734575,-84.305895
New Restaurant Opening,Watch out for a giant pothole on Maple Street. Be careful driving!,33.686063,-84.519628
Local Event,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.701686,-84.450273
Traffic Update,Heard about a new Elm opening on Elm. Definitely worth checking out!,33.67152,-84.349428
New Restaurant Opening,The annual street fair at Highland is this Saturday. Great food and local crafts!,33.77187,-84.421407
Infrastructure Work,Heard about a new Highland opening on 5th. Definitely worth checking out!,33.718826,-84.450775
New Restaurant Opening,Public transport update: Elm line will have altered schedules this week.,33.764093,-84.483676
Community Meeting,Heard about a new Broadway opening on Elm. Definitely worth checking out!,33.860843,-84.366368
Infrastructure Work,Watch out for a giant pothole on North Street. Be careful driving!,33.706557,-84.345207
Pothole Alert,Don't miss the 5th happening this weekend at Main. Always a good time!,33.777634,-84.372011
Community Meeting,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.816554,-84.368363
Street Fair,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.86768,-84.294844
Infrastructure Work,Excited about the new renovations at Broadway. It's going to be great for the community!,33.877994,-84.390385
Street Fair,"Heads up, Maple is undergoing some major infrastructure work for the next month.",33.729432,-84.467864
New Restaurant Opening,Public transport update: Peachtree line will have altered schedules this week.,33.690623,-84.519266
Public Transport Notice,Excited about the new renovations at Elm. It's going to be great for the community!,33.865923,-84.51636
Local Event,"Heads up, Maple is undergoing some major infrastructure work for the next month.",33.790904,-84.549075
Pothole Alert,Don't miss the Maple happening this weekend at River. Always a good time!,33.826529,-84.533541
Pothole Alert,"Heads up, River is undergoing some major infrastructure work for the next month.",33.813583,-84.441819
Infrastructure Work,"Avoid North during rush hour, construction is causing major delays.",33.839686,-84.341776
Infrastructure Work,Excited about the new renovations at Broadway. It's going to be great for the community!,33.767959,-84.403492
Community Meeting,"Heads up, North is undergoing some major infrastructure work for the next month.",33.68294,-84.508172
New Restaurant Opening,Community meeting at Elm this Thursday to discuss the new Main development.,33.69042,-84.513402
Traffic Update,"Heads up, North is undergoing some major infrastructure work for the next month.",33.66949,-84.442005
Community Meeting,Heard about a new Maple opening on Peachtree. Definitely worth checking out!,33.861473,-84.51453
Infrastructure Work,Community meeting at Peachtree this Thursday to discuss the new Elm development.,33.806982,-84.463069
New Restaurant Opening,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.756242,-84.317353
New Restaurant Opening,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.733671,-84.435061
Traffic Update,Excited about the new renovations at River. It's going to be great for the community!,33.853155,-84.410209
Park Renovation,Don't miss the Broadway happening this weekend at 5th. Always a good time!,33.77486,-84.362743
Park Renovation,"Avoid Main during rush hour, construction is causing major delays.",33.731084,-84.395128
Park Renovation,Excited about the new renovations at 5th. It's going to be great for the community!,33.818189,-84.529228
Local Event,Excited about the new renovations at North. It's going to be great for the community!,33.687266,-84.535853
Local Event,Heard about a new Elm opening on Broadway. Definitely worth checking out!,33.762566,-84.517756
Local Event,Watch out for a giant pothole on Elm Street. Be careful driving!,33.694705,-84.430184
Pothole Alert,Community meeting at Maple this Thursday to discuss the new Main development.,33.883604,-84.501512
Pothole Alert,Community meeting at 5th this Thursday to discuss the new Maple development.,33.85712,-84.506796
Pothole Alert,Public transport update: North line will have altered schedules this week.,33.75339,-84.296821
Pothole Alert,Heard about a new Highland opening on Main. Definitely worth checking out!,33.75544,-84.35407
Traffic Update,Community meeting at Peachtree this Thursday to discuss the new North development.,33.839841,-84.542918
New Restaurant Opening,Community meeting at Maple this Thursday to discuss the new Peachtree development.,33.7289,-84.512057
Local Event,Watch out for a giant pothole on Elm Street. Be careful driving!,33.729081,-84.31369
Pothole Alert,Community meeting at Maple this Thursday to discuss the new North development.,33.801651,-84.325252
Public Transport Notice,Watch out for a giant pothole on Main Street. Be careful driving!,33.845701,-84.399905
Community Meeting,Heard about a new 5th opening on North. Definitely worth checking out!,33.880693,-84.505899
Public Transport Notice,"Avoid Peachtree during rush hour, construction is causing major delays.",33.781068,-84.446731
Infrastructure Work,"Avoid Elm during rush hour, construction is causing major delays.",33.808667,-84.437443
Local Event,Watch out for a giant pothole on River Street. Be careful driving!,33.80793,-84.546081
Local Event,Watch out for a giant pothole on Highland Street. Be careful driving!,33.700235,-84.29901
Street Fair,Public transport update: Broadway line will have altered schedules this week.,33.702829,-84.469501
New Restaurant Opening,Public transport update: Maple line will have altered schedules this week.,33.872033,-84.470918
New Restaurant Opening,Don't miss the Maple happening this weekend at Maple. Always a good time!,33.813111,-84.537284
Pothole Alert,Excited about the new renovations at Main. It's going to be great for the community!,33.665605,-84.334088
Pothole Alert,Watch out for a giant pothole on Highland Street. Be careful driving!,33.753778,-84.509169
New Restaurant Opening,"Avoid Peachtree during rush hour, construction is causing major delays.",33.749813,-84.335603
New Restaurant Opening,The annual street fair at North is this Saturday. Great food and local crafts!,33.869605,-84.489252
New Restaurant Opening,Excited about the new renovations at Highland. It's going to be great for the community!,33.711059,-84.307819
Public Transport Notice,"Avoid Maple during rush hour, construction is causing major delays.",33.869628,-84.439258
Infrastructure Work,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.710763,-84.533108
Community Meeting,Don't miss the Peachtree happening this weekend at Maple. Always a good time!,33.746014,-84.454393
Traffic Update,Heard about a new Highland opening on Main. Definitely worth checking out!,33.827451,-84.338972
Park Renovation,Public transport update: Peachtree line will have altered schedules this week.,33.838104,-84.452787
Community Meeting,Heard about a new Elm opening on North. Definitely worth checking out!,33.722338,-84.37673
Infrastructure Work,Watch out for a giant pothole on Elm Street. Be careful driving!,33.798271,-84.385034
Pothole Alert,Don't miss the Elm happening this weekend at River. Always a good time!,33.662229,-84.457724
Community Meeting,Public transport update: North line will have altered schedules this week.,33.742031,-84.493157
Pothole Alert,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.754795,-84.384623
Community Meeting,"Heads up, River is undergoing some major infrastructure work for the next month.",33.857206,-84.410761
Street Fair,Don't miss the Elm happening this weekend at Peachtree. Always a good time!,33.867917,-84.500042
Pothole Alert,"Avoid River during rush hour, construction is causing major delays.",33.683826,-84.441787
